"year","value","state","stcname","stcgroup","units","base"
1955,1.256,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1956,1.637,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1957,1.739,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1958,2.162,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1959,2.327,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1960,2.495,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1961,2.385,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1962,2.835,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1963,2.801,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1964,3.107,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1965,3.121,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1966,3.871,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1967,3.689,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1968,4.563,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1969,4.251,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1970,5.252,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1971,6.348,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1972,7.057,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1973,7.179,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1974,7.792,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1975,8.936,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1976,9.336,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1977,10.791,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1978,11.171,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1979,12.265,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1980,12.73,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1981,14.902,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1982,17.299,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1983,19.886,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1984,19.849,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1985,19.004,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1986,19.32,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1987,20.839,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1988,15.728,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1989,14.44,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1990,18.114,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1991,21.701,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1992,23.791,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1993,28.034,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1994,33.895,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1995,32.211,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1996,35.034,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1997,38.517,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1998,39.438,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1999,38.094,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2000,40.774,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2001,43.426,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2002,41.355,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2003,43.041,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2004,42.094,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2005,49.987,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2006,53.499,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2007,56.481,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2008,60.054,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2009,62.404,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2010,63.088,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2011,66.304,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2012,69.894,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2013,69.984,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2014,74.79,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2015,77.194,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2016,79.026,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2017,78.716,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2018,47.431,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2019,84.987,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2020,89.66,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2021,94.829,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2022,97.555,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2023,98.177,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2024,109.728,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
2025,106.707,"ID","Occupation and Business","License Taxes","Million Dollars","Nominal"
1951,3.523,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1952,3.924,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1953,4.178,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1954,4.566,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1955,4.906,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1956,5.502,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1957,5.372,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1958,6.068,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1959,6.477,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1960,7.085,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1961,7.054,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1962,7.601,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1963,7.572,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1964,9.295,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1965,10.386,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1966,10.532,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1967,11.034,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1968,13.179,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1969,14.193,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1970,14.101,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1971,14.614,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1972,16.125,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1973,12.453,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1974,20.406,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1975,22.638,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1976,27.274,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1977,23.86,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1978,28.313,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1979,22.588,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1980,28.567,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1981,21.88,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1982,35.76,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1983,31.029,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1984,49.975,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1985,49.659,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1986,57.598,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1987,58.541,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1988,66.053,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1989,66.838,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1990,75.873,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1991,71.268,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1992,39.996,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1993,43.245,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1994,44.055,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1995,46.402,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1996,266.445,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1997,237.46,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1998,240.397,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1999,257.495,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2000,300.591,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2001,282.824,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2002,298.661,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2003,318.762,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2004,718.979,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2005,744.869,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2006,699.248,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2007,700.237,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2008,487.297,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2009,432.711,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2010,387.82,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2011,370.54,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2012,390.975,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2013,430.765,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2014,469.458,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2015,455.585,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2016,469.273,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2017,465.109,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2018,552.696,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2019,444.895,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2020,426.818,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2021,589.448,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2022,591.624,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2023,855.28,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2024,853.239,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
2025,913.734,"IL","Occupation and Business","License Taxes","Million Dollars","Nominal"
1951,2.928,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1952,3.045,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1953,2.654,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1954,2.666,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1955,2.758,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1956,3.395,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1957,3.42,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1958,3.603,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1959,3.518,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1960,4.292,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1961,4.462,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1962,5.058,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1963,4.468,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1964,4.149,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1965,4.39,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1966,4.856,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1967,4.703,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1968,5.615,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1969,5.668,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1970,6.301,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1971,6.066,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1972,7.146,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1973,7.23,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1974,7.995,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1975,6.992,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1976,9.223,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1977,9.044,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1978,10.713,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1979,10.556,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1980,11.516,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1981,13.958,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1982,16.662,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1983,15.193,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1984,18.393,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1985,15.527,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1986,19.2,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1987,19.202,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1988,19.762,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1989,19.383,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1990,23.119,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1991,22.139,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1992,22.369,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1993,37.42,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1994,38.445,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1995,40.297,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1996,47.215,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1997,44.913,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1998,50.34,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1999,44.48,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2000,52.805,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2001,63.543,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2002,35.802,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2003,35.589,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2004,40.284,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2005,39.955,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2006,44.032,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2007,39.189,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2008,43.592,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2009,40.733,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2010,41.033,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2011,35.082,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2012,43.865,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2013,31.739,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2014,46.157,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2015,33.23,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2016,43.437,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2017,36.207,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2018,51.828,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2019,34.442,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2020,37.7,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2021,47.155,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2022,62.918,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2023,118.79,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2024,142.153,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
2025,127.399,"IN","Occupation and Business","License Taxes","Million Dollars","Nominal"
1951,1.318,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1952,1.29,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1953,1.306,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1954,1.34,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1955,1.3,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1956,1.539,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1957,1.713,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1958,1.73,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1959,1.847,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1960,2.191,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1961,2.119,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1962,2.268,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1963,2.489,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1964,2.39,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1965,2.398,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1966,2.476,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1967,2.705,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1968,2.62,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1969,2.864,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1970,3.305,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1971,2.988,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1972,4.623,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1973,5.664,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1974,5.406,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1975,6.35,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1976,7.527,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1977,7.598,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1978,7.778,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1979,7.874,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1980,8.865,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1981,9.662,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1982,10.574,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1983,12.763,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1984,13.216,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1985,14.437,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1986,12.569,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1987,14.995,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1988,19.534,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1989,19.62,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1990,22.313,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1991,24.128,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1992,52.377,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1993,55.645,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1994,58.198,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1995,60.767,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1996,62.467,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1997,69.657,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1998,68.572,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1999,68.579,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2000,70.379,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2001,71.416,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2002,70.338,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2003,72.327,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2004,75.977,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2005,81.884,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2006,85.962,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2007,91.931,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2008,105.979,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2009,108.486,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2010,110.012,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2011,109.182,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2012,111.672,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2013,112.333,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2014,115.632,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2015,139.123,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2016,153.278,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2017,158.098,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2018,146.47,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2019,137.217,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2020,138.016,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2021,160.355,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2022,162.295,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2023,170.688,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2024,109.376,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
2025,106.414,"IA","Occupation and Business","License Taxes","Million Dollars","Nominal"
1951,1.788,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1952,1.993,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1953,2.111,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1954,1.897,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1955,2.184,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1956,2.344,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1957,2.243,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1958,2.625,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1959,3.825,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1960,3.376,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1961,3.992,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1962,3.964,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1963,3.987,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1964,4.103,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1965,4.238,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1966,5.084,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1967,4.391,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1968,4.49,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1969,4.898,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1970,6.079,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1971,6.902,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1972,6.918,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1973,7.513,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1974,7.661,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1975,8.35,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1976,9.698,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1977,10.058,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1978,11.92,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1979,13.473,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1980,15.634,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1981,17.271,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1982,16.661,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1983,18.578,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1984,19.05,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1985,19.391,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1986,21.229,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1987,21.045,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1988,24.345,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1989,23.3,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1990,24.797,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1991,26.84,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1992,24.428,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1993,25.929,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1994,27.667,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1995,29.06,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1996,29.041,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1997,32.258,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1998,30.707,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
1999,30.107,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2000,28.857,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2001,21.582,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2002,21.495,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2003,22.19,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2004,22.51,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2005,22.768,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2006,20.033,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2007,25.309,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2008,27.18,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2009,29.038,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2010,28.85,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2011,46.048,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2012,52.267,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2013,55.457,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2014,65.516,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2015,74.704,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2016,81.617,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2017,95.358,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2018,98.132,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2019,95.497,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2020,101.828,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
2021,100.883,"KS","Occupation and Business","License Taxes","Million Dollars","Nominal"
